datetime,pnl,position_owner
2025-11-13 09:00,1870.0,L1
2025-11-17 01:00,-1130.0,L1
2025-11-17 05:00,1870.0,L1
2025-11-25 19:00,1870.0,L1
2025-12-01 08:00,-1080.0,L1
2025-12-05 08:00,1870.0,L1
2025-12-05 10:00,-3215.0,L2
2025-12-08 14:00,-2285.0,L2
2025-12-08 16:00,-1265.9999999999854,L1
2025-12-10 06:00,2404.0000000000146,L2
2025-12-10 12:00,1870.0,L1
2025-12-10 22:00,2404.0000000000146,L2
2025-12-11 05:00,1870.0,L1
2025-12-15 02:00,2404.0000000000146,L2
2025-12-18 06:00,2404.0000000000146,L2
2025-12-22 14:00,-670.0,L2
2025-12-22 21:00,1870.0,L1
2025-12-25 18:00,180.0,L2
2025-12-26 11:00,-1190.0,L1
2025-12-29 14:00,-1140.0,L1
2025-12-30 12:00,1870.0,L1
2026-01-01 20:00,1870.0,L1
2026-01-01 22:00,2404.0000000000146,L2
2026-01-02 10:00,-3341.999999999971,L2
2026-01-06 03:00,1870.0,L1
2026-01-06 10:00,1035.0,L2
2026-01-06 13:00,1870.0,L1
2026-01-07 10:00,2320.0,L2
2026-01-07 12:00,-1265.9999999999854,L1
2026-01-07 19:00,1870.0,L1
2026-01-08 02:00,-1265.9999999999854,L1
2026-01-08 18:00,315.0,L2
2026-01-09 05:00,1870.0,L1
2026-01-09 14:00,-1265.9999999999854,L1
2026-01-12 10:00,2404.0000000000146,L2
2026-01-14 22:00,2404.0000000000146,L2
2026-01-15 06:00,2404.0000000000146,L2
2026-01-15 18:00,-3060.0,L2
2026-01-16 13:00,-1115.0,L1
2026-01-16 16:00,1870.0,L1
2026-01-19 10:00,2404.0000000000146,L2
2026-01-22 18:00,585.0,L2
2026-01-23 03:00,1870.0,L1
2026-01-26 19:00,1870.0,L1
2026-01-28 11:00,1870.0,L1
2026-01-29 05:00,1870.0,L1
2026-02-12 23:00,1870.0,L1
2026-02-13 06:00,1870.0,L1
2026-02-17 02:00,1870.0,L1
2026-02-18 04:00,-1265.9999999999854,L1
2026-02-19 04:00,1870.0,L1
2026-02-24 09:00,-1010.0,L1
2026-02-26 01:00,1870.0,L1
2026-03-17 06:00,1870.0,L1
2026-03-20 04:00,-1255.0,L1
2026-03-25 01:00,-1055.0,L1
2026-03-26 02:00,1870.0,L1
2026-03-30 05:00,-1265.9999999999854,L1
2026-04-06 01:00,1870.0,L1
2026-04-07 02:00,2615.0,L2
2026-04-07 04:00,1870.0,L1
2026-04-08 22:00,-1100.0,L1
2026-04-09 08:00,-1265.9999999999854,L1
2026-04-13 18:00,2404.0000000000146,L2
2026-04-14 14:00,2404.0000000000146,L2
2026-04-15 15:00,1870.0,L1
2026-04-21 04:00,-1055.0,L1
2026-04-21 09:00,1870.0,L1
2026-04-24 07:00,1870.0,L1
2026-04-28 20:00,-1265.9999999999854,L1
2026-05-03 18:00,-3165.0,L2
2026-05-05 10:00,2404.0000000000146,L2
2026-05-05 18:00,1870.0,L1
2026-05-06 06:00,1870.0,L1
2026-05-07 05:00,-1265.9999999999854,L1
2026-05-10 18:00,2404.0000000000146,L2
2026-05-11 21:00,1870.0,L1
2026-05-11 22:00,2404.0000000000146,L2
2026-05-13 21:00,-1265.9999999999854,L1
2026-05-14 00:00,-1180.0,L1
2026-05-14 08:00,-1265.9999999999854,L1
