anchor,sl_soft,sl_hard,tp,pnl,n,dd,win
2024Q1,249.51,542.97,377.02,37309.42,15,20200.0,60.0
2024Q1,266.4,629.88,548.51,-16794.42,9,33365.0,22.2
2024Q1,257.88,577.02,333.79,21607.18,14,10875.0,57.1
2024Q1,275.56,604.05,399.83,17047.72,9,17345.0,55.6
2024Q1,254.42,590.63,381.38,26938.02,12,10790.0,58.3
2024Q1,236.55,434.56,362.07,35217.86,15,20175.0,60.0
2024Q1,267.28,528.75,348.93,40497.54,13,11370.0,69.2
2024Q1,245.66,602.3,311.81,-1020.35,18,30500.0,44.4
2024Q1,279.67,587.64,371.77,43818.83,13,11635.0,69.2
2024Q1,261.58,481.04,392.81,19517.45,11,16675.0,54.5
2024Q1,269.99,519.02,381.72,31110.34,11,11400.0,63.6
2024Q1,252.5,520.61,363.64,21807.99,15,26020.0,53.3
2024Q1,288.55,672.28,419.5,24379.88,8,11765.0,62.5
2024Q1,262.22,469.84,404.67,13047.18,10,16675.0,50.0
2024Q1,227.65,649.83,342.26,32956.73,15,19170.0,60.0
2024Q1,275.08,502.58,372.43,44161.85,13,11540.0,69.2
2024Q1,242.94,496.7,390.41,29672.47,12,10065.0,58.3
2024Q1,255.41,497.83,351.74,42077.66,13,10790.0,69.2
2024Q1,283.04,561.39,364.01,42346.61,13,11690.0,69.2
2024Q1,269.33,619.0,382.54,31235.2,11,11400.0,63.6
2024Q1,262.23,481.04,400.08,12587.65,10,16675.0,50.0
2024Q1,249.03,538.08,375.68,37027.83,15,20240.0,60.0
2024Q1,274.23,646.44,357.13,41408.57,13,11540.0,69.2
2024Q1,258.6,662.51,390.38,14460.6,12,16675.0,50.0
2024Q1,289.94,522.74,440.71,32346.1,7,5865.0,71.4
2024Q1,266.26,470.93,368.0,44255.1,13,11045.0,69.2
2024Q1,280.37,540.41,590.6,-16291.12,9,34265.0,22.2
2024Q1,237.1,481.1,329.5,13015.64,16,20175.0,50.0
2024Q1,251.11,443.74,381.73,4222.51,14,26020.0,42.9
2024Q1,270.87,537.54,203.29,-1370.49,21,18684.21,57.1
2024Q2,187.55,769.39,526.83,-2878.77,15,29500.0,26.7
2024Q2,284.82,380.3,137.45,-2839.45,19,18529.91,68.4
2024Q2,50.21,580.31,438.35,-113.78,24,7665.0,12.5
2024Q2,332.3,344.9,687.66,34541.68,7,13796.05,57.1
2024Q2,386.28,516.23,154.91,-11700.72,18,23330.18,66.7
