i,time,layer,decision,datetime,reason,box_cause,event_type,direction,box_dir,entry_price,exit_time,exit_price,exit_reason,pnl,equity,dd,in_position,position_owner,l2_reason
3827,1724382000,,nonentry,2024-08-23 03:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3828,1724385600,,nonentry,2024-08-23 04:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3829,1724389200,,nonentry,2024-08-23 05:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3830,1724392800,,nonentry,2024-08-23 06:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3831,1724396400,,nonentry,2024-08-23 07:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3832,1724400000,,nonentry,2024-08-23 08:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3833,1724403600,,nonentry,2024-08-23 09:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3834,1724407200,,nonentry,2024-08-23 10:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3835,1724410800,,nonentry,2024-08-23 11:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3836,1724414400,,nonentry,2024-08-23 12:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3837,1724418000,,nonentry,2024-08-23 13:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3838,1724421600,,nonentry,2024-08-23 14:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3839,1724425200,,nonentry,2024-08-23 15:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3840,1724428800,,nonentry,2024-08-23 16:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3841,1724608800,,nonentry,2024-08-25 18:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3842,1724612400,,nonentry,2024-08-25 19:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3843,1724616000,,nonentry,2024-08-25 20:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3844,1724619600,,nonentry,2024-08-25 21:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3845,1724623200,,nonentry,2024-08-25 22:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3846,1724626800,,nonentry,2024-08-25 23:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3847,1724630400,,nonentry,2024-08-26 00:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3848,1724634000,,nonentry,2024-08-26 01:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3849,1724637600,,nonentry,2024-08-26 02:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3850,1724641200,,nonentry,2024-08-26 03:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
