i,time,layer,decision,datetime,reason,box_cause,event_type,direction,box_dir,entry_price,exit_time,exit_price,exit_reason,pnl,equity,dd,in_position,position_owner,l2_reason
3418,1753974000,,nonentry,2025-07-31 15:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3419,1753977600,,nonentry,2025-07-31 16:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3420,1753984800,L2,entry,2025-07-31 18:00,entered,,ENTRY,long,,6368.75,1754017740,6342.35,STOP_LOSS_HARD,-1319.9999999999818,-857.5,7525.0,True,L2,
3421,1753988400,L2,nonentry,2025-07-31 19:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L2,
3422,1753992000,L2,nonentry,2025-07-31 20:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L2,
3423,1753995600,L2,nonentry,2025-07-31 21:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L2,
3424,1753999200,L2,nonentry,2025-07-31 22:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L2,
3425,1754002800,L2,nonentry,2025-07-31 23:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L2,
3426,1754006400,L2,nonentry,2025-08-01 00:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L2,
3427,1754010000,L2,nonentry,2025-08-01 01:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L2,
3428,1754013600,L2,nonentry,2025-08-01 02:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L2,
3429,1754017200,L2,nonentry,2025-08-01 03:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L2,
3430,1754020800,L1,entry,2025-08-01 04:00,entered,,ENTRY,long,,6322.75,1754022480,6311.75,STOP_LOSS_SOFT,-550.0,18655.0,2502.5,True,L1,
3431,1754024400,,nonentry,2025-08-01 05:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
