et,pnl_usd,outcome,entry,exit_price,exit_s,block
2020-09-25 08:30:00,-71.92499999999882,stopped_post,1438.5,1437.0615,256.0,Durable Goods Orders MoM
2020-10-27 08:30:00,-85.00000000000227,stopped_pre,1605.9,1604.2,-2.0,Durable Goods Orders MoM
2020-11-25 08:30:00,100.0,timed,1846.2,1848.2,893.0,Durable Goods Orders MoM
2020-12-23 08:30:00,160.00000000000227,timed,1992.1,1995.3,897.0,Durable Goods Orders MoM
2021-01-27 08:30:00,-105.2599999999984,stopped_pre,2105.2,2103.0948,-192.0,Durable Goods Orders MoM
2021-02-25 08:30:00,160.00000000001364,timed,2283.2,2286.4,888.0,Durable Goods Orders MoM
2021-03-24 08:30:00,-110.41000000000167,stopped_post,2208.2,2205.9918,63.0,Durable Goods Orders MoM
2021-04-26 08:30:00,20.000000000004547,timed,2281.0,2281.4,896.0,Durable Goods Orders MoM
2021-05-27 08:30:00,434.9999999999909,timed,2250.4,2259.1,900.0,Durable Goods Orders MoM
2021-06-24 08:30:00,-115.6400000000076,stopped_post,2312.8,2310.4872,215.0,Durable Goods Orders MoM
2021-07-27 08:30:00,-109.96000000000095,stopped_post,2199.2,2197.0008,75.0,Durable Goods Orders MoM
2021-08-25 08:30:00,95.00000000000455,timed,2227.6,2229.5,898.0,Durable Goods Orders MoM
2021-09-27 08:30:00,-112.22999999999956,stopped_pre,2244.6,2242.3554,-210.0,Durable Goods Orders MoM
2021-10-27 08:30:00,175.0,timed,2283.5,2287.0,894.0,Durable Goods Orders MoM
2021-11-24 08:30:00,-115.85500000001048,stopped_pre,2317.1,2314.7828999999997,-119.0,Durable Goods Orders MoM
2021-12-23 08:30:00,-114.99999999998636,stopped_post,2230.1,2227.8,753.0,Durable Goods Orders MoM
2022-01-27 08:30:00,-99.08000000000357,stopped_pre,1981.6,1979.6183999999998,-120.0,Durable Goods Orders MoM
2022-02-25 08:30:00,-104.99999999999545,stopped_pre,2010.1,2008.0,-255.0,Durable Goods Orders MoM
2022-03-24 08:30:00,-102.80999999999949,stopped_post,2056.2,2054.1438,34.0,Durable Goods Orders MoM
2022-04-26 08:30:00,-97.26500000000442,stopped_post,1945.3,1943.3546999999999,420.0,Durable Goods Orders MoM
2022-05-25 08:30:00,-87.9099999999994,stopped_post,1758.2,1756.4418,10.0,Durable Goods Orders MoM
2022-06-27 08:30:00,-89.99999999999773,stopped_pre,1769.0,1767.2,-90.0,Durable Goods Orders MoM
2022-07-27 08:30:00,25.0,timed,1817.2,1817.7,900.0,Durable Goods Orders MoM
2022-08-24 08:30:00,-96.24000000000024,stopped_post,1924.8,1922.8752,110.0,Durable Goods Orders MoM
2022-09-27 08:30:00,-84.42999999999756,stopped_pre,1688.6,1686.9114,-179.0,Durable Goods Orders MoM
2022-10-27 08:30:00,-90.80999999999904,stopped_pre,1816.2,1814.3838,-28.0,Durable Goods Orders MoM
2022-11-23 08:30:00,-93.03999999999633,stopped_post,1860.8,1858.9392,795.0,Durable Goods Orders MoM
2022-12-23 08:30:00,-88.58999999999924,stopped_pre,1771.8,1770.0282,-6.0,Durable Goods Orders MoM
