instrument,release,n,pearson_r,pearson_p,spearman_r,spearman_p,passes_alpha,rule_accuracy,rule_ci_lo,rule_ci_hi,tradeable,provenance_verified,perm_p,control_spearman_p
NG,Core Inflation Rate YoY,88,0.13085630012617638,0.2242812610386051,0.11574294219931325,0.2828879462808508,False,0.5411764705882353,0.43576336067555077,0.6430286818322811,False,True,,
NG,Core PCE Price Index MoM,88,-0.031050473784155073,0.7739716470339025,-0.12700886776019948,0.23832029661123652,False,0.5357142857142857,0.4298471593522587,0.6384577171881494,False,True,,
NG,Core PCE Price Index YoY,87,-0.17439036493130422,0.10620604356832423,-0.14043433501925223,0.1945010192177346,False,0.5180722891566265,0.412177570897311,0.6223681408016595,False,True,,
NG,Core PPI MoM,90,0.14633702852818692,0.16873171420148772,0.138552654866609,0.19279897018461156,False,0.5795454545454546,0.47520752625701457,0.6772290767705784,False,True,,
NG,Core PPI YoY,90,0.20254409039445553,0.05555162314257796,0.20961521840412298,0.04738140919082134,False,0.6022727272727273,0.4978073004041541,0.6981826177741797,False,True,,
NG,Durable Goods Orders Ex Transp MoM,91,-0.028705418572976163,0.78708141774345,0.08332537028189203,0.4323057867636726,False,0.5666666666666667,0.4636409752134259,0.6642342747088736,False,True,,
NG,Durable Goods Orders MoM,91,0.029626962162586735,0.780415616942447,0.06782927217709826,0.5229259566334722,False,0.5222222222222223,0.420245639105551,0.6223794442018823,False,True,,
NG,EIA Crude Oil Stocks Change,473,-0.07878342198610043,0.08697893662177761,-0.05354485194677458,0.2451232609347444,False,0.5330396475770924,0.4870622134939755,0.5784626519849082,False,False,,
NG,EIA Distillate Stocks Change,309,-0.05614108312289461,0.3252893393087589,-0.04538595880863843,0.4266200863985286,False,0.5016722408026756,0.44533811082787655,0.5579639469679357,False,False,,
NG,EIA Gasoline Stocks Change,467,0.01784685863188061,0.7004812396103375,-0.021956062025208015,0.636027700333368,False,0.5491071428571429,0.5028080758683391,0.5945712131297631,False,False,,
NG,Existing Home Sales,91,-0.0016501630173733845,0.9876141771430871,-0.0316615967805209,0.7657551944209663,False,0.5568181818181819,0.452817906347892,0.6560653815289601,False,True,,
NG,Existing Home Sales MoM,36,-0.04262043843374631,0.8050554460342553,-0.1532917179311721,0.3720808407603411,False,0.5882352941176471,0.42221593875112395,0.7363403163907352,False,True,,
NG,Export Prices MoM,88,-0.04305062552907701,0.6904377823765171,-0.017681971084618154,0.8701147924864959,False,0.5058823529411764,0.40166435806203304,0.6095916480105142,False,True,,
NG,Factory Orders MoM,92,0.12301162537951123,0.2427274274757205,0.1488856693866921,0.15664561077426475,False,0.5393258426966292,0.43629456159015195,0.6391027887830607,False,True,,
NG,Fed Interest Rate Decision,33,0.16741333422084342,0.35173487262908865,0.26996079760751396,0.1286669838379329,False,,,,False,True,,
NG,Goods Trade Balance Adv,34,0.06713267525224939,0.7060014722148762,0.20200168139021066,0.2519343960737225,False,0.53125,0.3644951711540921,0.6913061289521591,False,True,,
NG,House Price Index MoM,47,0.10651429911066967,0.47609759143965963,0.08522201665124884,0.5689775352642824,False,0.6086956521739131,0.46456843228306544,0.736067749647594,False,True,,
NG,Housing Starts,87,-0.0316869189091354,0.7707804118034454,-0.05703037433812332,0.599807487348486,False,0.5903614457831325,0.48285768521320044,0.6898708732816519,False,True,,
NG,ISM Manufacturing Employment,39,-0.01963039952434567,0.9055807567256808,-0.03866592443840469,0.8152181895515641,False,0.5405405405405406,0.3838404688876499,0.689614301987172,False,True,,
NG,ISM Manufacturing PMI,92,0.037876149409944194,0.7200015520178455,0.027804321694988875,0.7924779845460556,False,0.5280898876404494,0.4253754742716865,0.6284797759948939,False,True,,
NG,ISM Manufacturing Prices,89,0.099093703458199,0.35553357645283346,-0.009057014931767573,0.9328675709610178,False,0.5697674418604651,0.46436203377469587,0.6692065898571713,False,True,,
NG,ISM Non-Manufacturing Business Activity,38,-0.01913610572822489,0.9092119306888616,0.09793194003720318,0.5585910730703585,False,0.5789473684210527,0.4219234534016202,0.7214749884513191,False,True,,
NG,ISM Non-Manufacturing PMI,51,-0.21149683825489077,0.13626197081810246,-0.11619909502262442,0.41678523907948833,False,0.52,0.38511744887073723,0.6520286471626846,False,True,,
NG,Import Prices MoM,88,-0.045187413207218634,0.6759118805237567,-0.06458146211881949,0.5499800053943499,False,0.5176470588235293,0.4129754549853353,0.620792563232307,False,True,,
NG,Industrial Production MoM,89,-0.03021939190915538,0.7786159081780637,0.002391906673100797,0.9822515359869539,False,0.5172413793103448,0.41375121334026344,0.619273355385146,False,True,,
NG,Inflation Rate MoM,87,0.10882854240026213,0.3156740925421521,0.08790347569214753,0.4181591779506924,False,0.5357142857142857,0.42984715935225865,0.6384577171881493,False,True,,
NG,Inflation Rate YoY,88,0.14178934131744836,0.18758656305079102,0.13169898383543283,0.22128554643994175,False,0.5882352941176471,0.48201014612014104,0.6868299449680705,False,True,,
NG,Initial Jobless Claims,471,0.03151779146903817,0.49500631994736743,0.06483018751466062,0.16010489715454665,False,0.5607064017660044,0.5146826877792258,0.6057091876467956,False,True,,
NG,JOLTs Job Openings,88,-0.06558028462450949,0.5438141599097901,-0.04423251353806296,0.6823890427610758,False,0.5714285714285714,0.4647695274325505,0.6718402256482656,False,True,,
NG,Manufacturing Payrolls,88,0.03569805193806204,0.7412529900113783,-0.15129365822971882,0.15940327119974937,False,0.5542168674698795,0.44725016434282927,0.6563869707540821,False,True,,
NG,Manufacturing Production MoM,64,-0.1579910665713747,0.2124466970299869,-0.1722069597069597,0.17361073361413693,False,0.6031746031746033,0.4798091850879104,0.7146808848329536,False,True,,
NG,Michigan Consumer Expectations Final,45,0.20904653497322354,0.16815803142983682,0.12648221343873517,0.4077129716155825,False,0.5,0.35831760536931495,0.6416823946306851,False,True,,
NG,Michigan Consumer Expectations Prel,70,-0.08221285878725583,0.49865737857229053,-0.018791171299566915,0.8772935716751011,False,0.5441176470588235,0.4265660642602046,0.6569511707506343,False,True,,
NG,Michigan Consumer Sentiment Prel,91,-0.012204894814096224,0.9085861640516958,0.015989870958364353,0.8804217142016189,False,0.5056179775280899,0.40368555238677384,0.6070854976665423,False,True,,
NG,Michigan Current Conditions Final,47,0.00942182234574493,0.9498821479396874,-0.07134597594819611,0.633675094333142,False,0.6956521739130435,0.5519435354811497,0.8092015919940374,False,True,,
