title,et,unverified,jump_pct,res_pct,pred,abs_fp
Fed Interest Rate Decision,2022-03-16 14:00:00,False,0.004983554270912809,0.8770618428265379,0.06810152890196208,0.25
Durable Goods Orders MoM,2022-03-24 08:30:00,False,0.0729465544910762,0.0632203472255861,0.026520155032607393,2.1
Non Farm Payrolls,2022-04-01 08:30:00,False,0.033723563135340986,0.09153979572172341,0.2224121816760251,260.0
Inflation Rate MoM,2022-04-12 08:30:00,False,0.41343148129473717,0.7665153807362605,0.05748527572603411,0.3999999999999999
Retail Sales MoM,2022-04-14 08:30:00,False,0.029697089685206346,0.12868738863592044,0.05303516877878195,0.20000000000000007
Durable Goods Orders MoM,2022-04-26 08:30:00,False,0.06167446163334766,0.35464638157894035,0.026520155032607393,2.7
Fed Interest Rate Decision,2022-05-04 14:00:00,False,0.02112378538234532,0.4223418857565199,0.06240097347709335,0.5
Non Farm Payrolls,2022-05-06 08:30:00,False,0.4557640750670241,0.1983914209115306,0.2224121816760251,37.0
Inflation Rate MoM,2022-05-11 08:30:00,False,0.7586827020343936,1.3093565608316917,0.08468575128055364,1.0
Retail Sales MoM,2022-05-17 08:30:00,False,0.07724990343761318,0.1544912822776404,0.051023791946074364,0.4999999999999999
Durable Goods Orders MoM,2022-05-25 08:30:00,False,0.12522768670309914,0.13661979848578948,0.026520155032607393,0.0
Non Farm Payrolls,2022-06-03 08:30:00,False,0.3920945265723568,0.16418621895026264,0.2224121816760251,111.0
Inflation Rate MoM,2022-06-10 08:30:00,False,0.9729203826820172,1.026583099200346,0.11855023941656734,0.39999999999999997
Retail Sales MoM,2022-06-15 08:30:00,False,0.01742970020915376,0.19172670230071778,0.051023791946074364,0.49999999999999994
Fed Interest Rate Decision,2022-06-15 14:00:00,False,0.1038182027915535,0.7208350152817024,0.06240097347709335,0.5
Durable Goods Orders MoM,2022-06-27 08:30:00,False,0.05096839959224508,0.022653904966860938,0.03306687495546949,0.30000000000000004
Non Farm Payrolls,2022-07-08 08:30:00,False,0.19211210306248522,0.5819866651599026,0.2224121816760251,116.0
Inflation Rate MoM,2022-07-13 08:30:00,False,1.8411572988735803,2.722489132921536,0.13591029728106008,0.10000000000000009
Retail Sales MoM,2022-07-15 08:30:00,False,0.10531242686636756,0.32182562902282036,0.05060695048216861,0.9
Durable Goods Orders MoM,2022-07-27 08:30:00,False,0.03853352416601443,0.04403588924973603,0.03306687495546949,1.3
Fed Interest Rate Decision,2022-07-27 14:00:00,False,0.010960705869460486,0.09865716634694188,0.06810152890196208,0.75
Non Farm Payrolls,2022-08-05 08:30:00,False,0.7690697917756641,1.0723439870272533,0.20803391073555816,148.0
Inflation Rate MoM,2022-08-10 08:30:00,False,0.9216829827119254,1.4424078317017193,0.14852415128923363,1.1
Retail Sales MoM,2022-08-17 08:30:00,False,0.04987033712347895,0.08975317875841209,0.05060695048216861,0.7000000000000001
Durable Goods Orders MoM,2022-08-24 08:30:00,False,0.0,0.28578851649779163,0.032641706354070724,1.6
Non Farm Payrolls,2022-09-02 08:30:00,False,0.6017834673669237,0.40496908006348664,0.20803391073555816,226.0
Inflation Rate MoM,2022-09-13 08:30:00,False,2.5370966068278555,2.407513101229693,0.17927468295062038,0.1
Retail Sales MoM,2022-09-15 08:30:00,False,0.26143790849672954,0.19606775230108037,0.05007090151971253,0.4
Fed Interest Rate Decision,2022-09-21 14:00:00,False,0.8665415608786867,1.628125172470887,0.06810152890196208,0.75
Durable Goods Orders MoM,2022-09-27 08:30:00,False,0.017774617845713624,0.15998103928423565,0.032641706354070724,0.30000000000000004
Non Farm Payrolls,2022-10-07 08:30:00,False,1.208493336345147,1.6606416629010443,0.2224121816760251,65.0
