release,instrument,n,mde_r,bonferroni_alpha
Building Permits,ES,82,0.4924082561643617,7.776049766718508e-05
House Price Index MoM,ES,81,0.49501400145984564,7.776049766718508e-05
ISM Manufacturing Employment,ES,75,0.5115591836472961,7.776049766718508e-05
ISM Non-Manufacturing Business Activity,ES,73,0.5174504535373323,7.776049766718508e-05
Existing Home Sales MoM,ES,72,0.5204726554299641,7.776049766718508e-05
Michigan Current Conditions Final,ES,72,0.5204726554299641,7.776049766718508e-05
New Home Sales MoM,ES,70,0.5266776297218603,7.776049766718508e-05
Michigan Consumer Expectations Final,ES,69,0.5298635577926925,7.776049766718508e-05
Net Long-term TIC Flows,ES,67,0.536410675208352,7.776049766718508e-05
Total Vehicle Sales,ES,67,0.536410675208352,7.776049766718508e-05
Wholesale Inventories MoM Adv,ES,65,0.5432034742215733,7.776049766718508e-05
CPI,ES,62,0.5538875788154687,7.776049766718508e-05
Goods Trade Balance Adv,ES,60,0.561365383042495,7.776049766718508e-05
PCE Price Index MoM,ES,54,0.5857221316794382,7.776049766718508e-05
IBD/TIPP Economic Optimism,ES,52,0.5945590651599607,7.776049766718508e-05
Non Defense Goods Orders Ex Air,ES,52,0.5945590651599607,7.776049766718508e-05
PCE Price Index YoY,ES,50,0.603799213960116,7.776049766718508e-05
EIA Crude Oil Stocks Change,GC,549,0.20228489228560564,7.776049766718508e-05
Initial Jobless Claims,GC,548,0.20246528041501022,7.776049766718508e-05
EIA Gasoline Stocks Change,GC,541,0.2037416537227553,7.776049766718508e-05
EIA Natural Gas Stocks Change,GC,540,0.20392597012249197,7.776049766718508e-05
Continuing Jobless Claims,GC,531,0.20560764108408877,7.776049766718508e-05
EIA Distillate Stocks Change,GC,334,0.25750768600986784,7.776049766718508e-05
API Crude Oil Stock Change,GC,288,0.2765127887644907,7.776049766718508e-05
Balance of Trade,GC,128,0.4042200102428221,7.776049766718508e-05
Factory Orders MoM,GC,128,0.4042200102428221,7.776049766718508e-05
ISM Manufacturing PMI,GC,128,0.4042200102428221,7.776049766718508e-05
Business Inventories MoM,GC,127,0.40566222334560903,7.776049766718508e-05
CB Consumer Confidence,GC,127,0.40566222334560903,7.776049766718508e-05
Chicago PMI,GC,127,0.40566222334560903,7.776049766718508e-05
Consumer Credit Change,GC,127,0.40566222334560903,7.776049766718508e-05
Durable Goods Orders MoM,GC,127,0.40566222334560903,7.776049766718508e-05
Existing Home Sales,GC,127,0.40566222334560903,7.776049766718508e-05
Michigan Consumer Sentiment Final,GC,127,0.40566222334560903,7.776049766718508e-05
Michigan Consumer Sentiment Prel,GC,127,0.40566222334560903,7.776049766718508e-05
NAHB Housing Market Index,GC,127,0.40566222334560903,7.776049766718508e-05
NY Empire State Manufacturing Index,GC,127,0.40566222334560903,7.776049766718508e-05
Pending Home Sales MoM,GC,127,0.40566222334560903,7.776049766718508e-05
Philadelphia Fed Manufacturing Index,GC,127,0.40566222334560903,7.776049766718508e-05
Retail Sales Ex Autos MoM,GC,127,0.40566222334560903,7.776049766718508e-05
Retail Sales MoM,GC,127,0.40566222334560903,7.776049766718508e-05
S&P/Case-Shiller Home Price YoY,GC,127,0.40566222334560903,7.776049766718508e-05
Wholesale Inventories MoM,GC,127,0.40566222334560903,7.776049766718508e-05
Average Hourly Earnings MoM,GC,126,0.40711993474820624,7.776049766718508e-05
Average Weekly Hours,GC,126,0.40711993474820624,7.776049766718508e-05
Capacity Utilization,GC,126,0.40711993474820624,7.776049766718508e-05
Core PPI MoM,GC,126,0.40711993474820624,7.776049766718508e-05
Durable Goods Orders Ex Transp MoM,GC,126,0.40711993474820624,7.776049766718508e-05
Industrial Production MoM,GC,126,0.40711993474820624,7.776049766718508e-05
Manufacturing Payrolls,GC,126,0.40711993474820624,7.776049766718508e-05
Non Farm Payrolls,GC,126,0.40711993474820624,7.776049766718508e-05
Nonfarm Payrolls Private,GC,126,0.40711993474820624,7.776049766718508e-05
PPI MoM,GC,126,0.40711993474820624,7.776049766718508e-05
Personal Spending MoM,GC,126,0.40711993474820624,7.776049766718508e-05
Unemployment Rate,GC,126,0.40711993474820624,7.776049766718508e-05
ADP Employment Change,GC,125,0.4085934230131286,7.776049766718508e-05
CB Leading Index MoM,GC,125,0.4085934230131286,7.776049766718508e-05
Construction Spending MoM,GC,125,0.4085934230131286,7.776049766718508e-05
