n,mde_r,grid,judge_at_r,at_mde_rate,min_hits_required,pass_,smallest_detected,reason,instrument,release,n_matrix
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.513,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,ES,CB Leading Index MoM,125
62,0.5538875788154687,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.554, 0.692]",0.554,0.84,17,True,0.554,detection at its MDE (0.554) is 84% — consistent with the nominal 80% power,ES,CPI,62
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.84,17,True,0.4,detection at its MDE (0.409) is 84% — consistent with the nominal 80% power,ES,Capacity Utilization,126
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.88,17,True,0.4,detection at its MDE (0.406) is 88% — consistent with the nominal 80% power,ES,Chicago PMI,127
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.76,17,True,0.511,detection at its MDE (0.409) is 76% — consistent with the nominal 80% power,ES,Construction Spending MoM,125
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.76,17,True,0.507,detection at its MDE (0.406) is 76% — consistent with the nominal 80% power,ES,Consumer Credit Change,127
531,0.20560764108408877,"[0.05, 0.1, 0.15, 0.2, 0.206, 0.257, 0.3, 0.4]",0.206,0.84,17,True,0.206,detection at its MDE (0.206) is 84% — consistent with the nominal 80% power,ES,Continuing Jobless Claims,531
122,0.4131114414473481,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.413, 0.516]",0.516,0.92,17,True,0.516,detection at its MDE (0.413) is 92% — consistent with the nominal 80% power,ES,Core Inflation Rate MoM,124
123,0.4115888797617477,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.412, 0.514]",0.412,0.72,17,True,0.514,detection at its MDE (0.412) is 72% — consistent with the nominal 80% power,ES,Core Inflation Rate YoY,125
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,0.96,17,True,0.41,detection at its MDE (0.410) is 96% — consistent with the nominal 80% power,ES,Core PCE Price Index MoM,125
115,0.42426265442766153,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.424, 0.53]",0.53,1.0,17,True,0.424,detection at its MDE (0.424) is 100% — consistent with the nominal 80% power,ES,Core PCE Price Index YoY,116
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,0.96,17,True,0.509,detection at its MDE (0.407) is 96% — consistent with the nominal 80% power,ES,Core PPI MoM,126
125,0.4085934230131286,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.409, 0.511]",0.409,0.8,17,True,0.409,detection at its MDE (0.409) is 80% — consistent with the nominal 80% power,ES,Core PPI YoY,125
126,0.40711993474820624,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.407, 0.509]",0.509,0.92,17,True,0.4,detection at its MDE (0.407) is 92% — consistent with the nominal 80% power,ES,Durable Goods Orders Ex Transp MoM,126
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.8,17,True,0.4,detection at its MDE (0.406) is 80% — consistent with the nominal 80% power,ES,Durable Goods Orders MoM,127
548,0.20246528041501022,"[0.05, 0.1, 0.15, 0.2, 0.202, 0.253, 0.3, 0.4]",0.253,1.0,17,True,0.253,detection at its MDE (0.202) is 100% — consistent with the nominal 80% power,ES,EIA Crude Oil Stocks Change,549
333,0.25788004564153333,"[0.05, 0.1, 0.15, 0.2, 0.258, 0.3, 0.322, 0.4]",0.258,0.88,17,True,0.258,detection at its MDE (0.258) is 88% — consistent with the nominal 80% power,ES,EIA Distillate Stocks Change,334
540,0.20392597012249197,"[0.05, 0.1, 0.15, 0.2, 0.204, 0.255, 0.3, 0.4]",0.204,0.68,17,True,0.255,detection at its MDE (0.204) is 68% — consistent with the nominal 80% power,ES,EIA Gasoline Stocks Change,541
540,0.20392597012249197,"[0.05, 0.1, 0.15, 0.2, 0.204, 0.255, 0.3, 0.4]",0.204,0.8,17,True,0.204,detection at its MDE (0.204) is 80% — consistent with the nominal 80% power,ES,EIA Natural Gas Stocks Change,540
127,0.40566222334560903,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.406, 0.507]",0.406,0.6,17,False,0.507,detection at its MDE is only 60% (<17/25) — significantly BELOW nominal power,ES,Existing Home Sales,127
72,0.5204726554299641,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.52, 0.651]",0.651,1.0,17,True,0.52,detection at its MDE (0.520) is 100% — consistent with the nominal 80% power,ES,Existing Home Sales MoM,72
124,0.4100829737335035,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.41, 0.513]",0.513,1.0,17,True,0.513,detection at its MDE (0.410) is 100% — consistent with the nominal 80% power,ES,Export Prices MoM,124
128,0.4042200102428221,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.404, 0.505]",0.505,1.0,17,True,0.404,detection at its MDE (0.404) is 100% — consistent with the nominal 80% power,ES,Factory Orders MoM,128
84,0.48731695017867094,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.4, 0.487, 0.609]",0.609,1.0,17,True,0.487,detection at its MDE (0.487) is 100% — consistent with the nominal 80% power,ES,Fed Interest Rate Decision,84
