instrument,release,n,pearson_r,pearson_p,spearman_r,spearman_p,passes_alpha,hit_rate,rule_accuracy,rule_ci_lo,rule_ci_hi,tradeable_possible,provenance_verified,perm_p,control_spearman_r,control_spearman_p
CL,Philadelphia Fed Manufacturing Index,103,0.17303509979055695,0.08048260077521181,0.12620399557053785,0.20398314346345245,False,0.52,0.52,0.4231657776301876,0.6153544824408641,False,True,,,
CL,Retail Sales Ex Autos MoM,103,-0.010756825683439112,0.9141221114211519,0.26259719720599217,0.0073678022849849355,False,0.5922330097087378,0.5922330097087378,0.49567612541689554,0.6821574628680227,False,True,,,
CL,Retail Sales MoM,103,0.1395988202458133,0.1596115035740205,0.20041295084127753,0.04237799843577706,False,0.6116504854368932,0.6116504854368932,0.5151342340494734,0.7001380044006907,False,True,,,
CL,Richmond Fed Manufacturing Index,63,0.046953452872177365,0.7147977646708377,0.09379800307219663,0.4646543359147226,False,0.6290322580645161,0.6290322580645161,0.5045796412053332,0.7384283401812066,True,True,,,
CL,S&P/Case-Shiller Home Price YoY,103,0.09424295608496909,0.3436906105956071,-0.012421473443746433,0.9008952826499272,False,0.5,0.5,0.40474447238758343,0.5952555276124165,False,True,,,
CL,Total Vehicle Sales,39,0.06922035839152169,0.6754212052777792,0.12551242487859113,0.4464534516355339,False,0.5405405405405406,0.5405405405405406,0.38384046888765,0.6896143019871721,False,True,,,
CL,Unemployment Rate,100,-0.03975297612905899,0.694550589665086,0.00576659395920375,0.9545918744776458,False,0.4897959183673469,0.5102040816326531,0.41273047098073423,0.6069078965674553,False,True,,,
CL,Wholesale Inventories MoM,103,-0.03591959389362597,0.7186890763095763,-0.027868766937588406,0.7799075123239096,False,0.49504950495049505,0.504950495049505,0.4090648919102948,0.6004733195113248,False,True,,,
CL,Wholesale Inventories MoM Adv,41,0.18628545625544332,0.24354849445913765,0.20923344947735195,0.18921572049039861,False,0.575,0.575,0.4219506853856714,0.7149060744291074,True,True,,,
ES,ADP Employment Change,101,0.07676027264686826,0.4454898691432542,0.22941825689746922,0.021010368723306208,False,0.5656565656565656,0.5656565656565656,0.46737456651295606,0.6590335975567292,False,True,,,
ES,API Crude Oil Stock Change,262,-0.026529861864945894,0.6690550246440241,-0.07208260197594998,0.2449540544204537,False,0.4291497975708502,0.5708502024291497,0.5085044618245531,0.6310259019530196,False,False,,,
ES,Average Hourly Earnings MoM,103,0.016277653678836487,0.8703650600566637,-0.31569872160962964,0.0011606265816839019,False,0.37254901960784315,0.6274509803921569,0.5306001919764467,0.7150502392369369,True,True,,,
ES,Average Hourly Earnings YoY,83,0.027176460149867628,0.8073241396953253,-0.23901179631417654,0.029546069086292127,False,0.40963855421686746,0.5903614457831325,0.4828576852132005,0.6898708732816519,False,True,,,
ES,Average Weekly Hours,103,0.08005402500420829,0.4214920247024308,0.1115955717611914,0.26175243278281185,False,0.5686274509803921,0.5686274509803921,0.47174977730153655,0.6605235318133623,False,True,,,
ES,Balance of Trade,104,-0.09597107981929513,0.33248178410746276,-0.1685644099131407,0.08717112722444373,False,0.45098039215686275,0.5490196078431373,0.4524271345069759,0.6420538005750946,False,True,,,
ES,Building Permits,57,0.08065819337123294,0.5508827249367355,0.14979258491055225,0.2660765835963809,False,0.375,0.625,0.49405365905438414,0.7398978567588761,True,True,,,
ES,Business Inventories MoM,103,0.03934846790803574,0.6931214693501858,0.14179848273150894,0.15307187367553726,False,0.6039603960396039,0.6039603960396039,0.5064566738236587,0.6938457660303523,False,True,,,
ES,CB Consumer Confidence,103,0.30787736171132546,0.00155777667852325,0.30814344589868686,0.0015424577313468211,False,0.6237623762376238,0.6237623762376238,0.5263864018145208,0.7120688837259685,True,True,,,
ES,CB Leading Index MoM,100,0.0019969874879653374,0.9842676768742431,0.025394539453945392,0.8019740692826384,False,0.5252525252525253,0.5252525252525253,0.4277930823555662,0.6208254422866207,False,True,,,
ES,CPI,38,-0.5106336779124372,0.0010541625603977482,-0.5931721194879089,8.68277777319054e-05,False,0.2894736842105263,0.7105263157894737,0.5524286232040918,0.8299672217370797,True,True,,,
ES,Capacity Utilization,101,-0.09972179220157613,0.32110344108846756,-0.050693069306930696,0.6146538727307645,False,0.54,0.54,0.4426486032113423,0.6343919169307612,False,True,,,
ES,Chicago PMI,103,0.11827145757004584,0.23410277942733324,0.19464701489258887,0.04881199131931772,False,0.5980392156862745,0.5980392156862745,0.5010067361716212,0.6879551339925202,False,True,,,
ES,Construction Spending MoM,101,-0.019891695981236,0.8434830212971028,-0.0016191030867792663,0.9871791426084305,False,0.504950495049505,0.504950495049505,0.4090648919102948,0.6004733195113248,False,True,,,
ES,Consumer Credit Change,103,0.139508666462831,0.1598839044807979,0.043141368173144255,0.6652362506520054,False,0.45454545454545453,0.5454545454545454,0.44750694627283594,0.6400063980831001,False,True,,,
ES,Continuing Jobless Claims,507,0.025655149719100226,0.5643872058681255,0.016232757004982678,0.7153881195574998,False,0.5308641975308642,0.5308641975308642,0.4864276917606428,0.5748166138400211,False,True,,,
