title,et,status
Non Farm Payrolls,2021-05-07 08:30:00,confirmed
Inflation Rate MoM,2021-05-12 08:30:00,confirmed
Non Farm Payrolls,2021-06-04 08:30:00,confirmed
Inflation Rate MoM,2021-06-10 08:30:00,confirmed
Fed Interest Rate Decision,2021-06-16 14:00:00,confirmed
Non Farm Payrolls,2021-07-02 08:30:00,confirmed
Inflation Rate MoM,2021-07-13 08:30:00,confirmed
Fed Interest Rate Decision,2021-07-28 14:00:00,confirmed
Non Farm Payrolls,2021-08-06 08:30:00,confirmed
Inflation Rate MoM,2021-08-11 08:30:00,confirmed
Non Farm Payrolls,2021-09-03 08:30:00,confirmed
Inflation Rate MoM,2021-09-14 08:30:00,confirmed
Fed Interest Rate Decision,2021-09-22 14:00:00,confirmed
Non Farm Payrolls,2021-10-08 08:30:00,confirmed
Inflation Rate MoM,2021-10-13 08:30:00,confirmed
Fed Interest Rate Decision,2021-11-03 14:00:00,confirmed
Non Farm Payrolls,2021-11-05 08:30:00,confirmed
Inflation Rate MoM,2021-11-10 08:30:00,confirmed
Non Farm Payrolls,2021-12-03 08:30:00,confirmed
Inflation Rate MoM,2021-12-10 08:30:00,confirmed
Fed Interest Rate Decision,2021-12-15 14:00:00,confirmed
Non Farm Payrolls,2022-01-07 08:30:00,confirmed
Inflation Rate MoM,2022-01-12 08:30:00,confirmed
Fed Interest Rate Decision,2022-01-26 14:00:00,confirmed
Non Farm Payrolls,2022-02-04 08:30:00,confirmed
Inflation Rate MoM,2022-02-10 08:30:00,confirmed
Non Farm Payrolls,2022-03-04 08:30:00,confirmed
Inflation Rate MoM,2022-03-10 08:30:00,confirmed
Fed Interest Rate Decision,2022-03-16 14:00:00,confirmed
Non Farm Payrolls,2022-04-01 08:30:00,confirmed
Inflation Rate MoM,2022-04-12 08:30:00,confirmed
Fed Interest Rate Decision,2022-05-04 14:00:00,confirmed
Non Farm Payrolls,2022-05-06 08:30:00,confirmed
Inflation Rate MoM,2022-05-11 08:30:00,confirmed
Non Farm Payrolls,2022-06-03 08:30:00,confirmed
Inflation Rate MoM,2022-06-10 08:30:00,confirmed
Fed Interest Rate Decision,2022-06-15 14:00:00,confirmed
Non Farm Payrolls,2022-07-08 08:30:00,confirmed
Inflation Rate MoM,2022-07-13 08:30:00,confirmed
Fed Interest Rate Decision,2022-07-27 14:00:00,confirmed
Non Farm Payrolls,2022-08-05 08:30:00,confirmed
Inflation Rate MoM,2022-08-10 08:30:00,confirmed
Non Farm Payrolls,2022-09-02 08:30:00,confirmed
Inflation Rate MoM,2022-09-13 08:30:00,confirmed
Fed Interest Rate Decision,2022-09-21 14:00:00,confirmed
Non Farm Payrolls,2022-10-07 08:30:00,confirmed
Inflation Rate MoM,2022-10-13 08:30:00,confirmed
Fed Interest Rate Decision,2022-11-02 14:00:00,confirmed
Non Farm Payrolls,2022-11-04 08:30:00,confirmed
Inflation Rate MoM,2022-11-10 08:30:00,confirmed
Non Farm Payrolls,2022-12-02 08:30:00,confirmed
Inflation Rate MoM,2022-12-13 08:30:00,confirmed
