cell,tok,arm,N,rule,n_conf,mean25,t25,mde,expl_mean25,yrs_pos,max_year_share,loyo_min,ticks,verdict
HG_cash_5_R1,HG,cash,5,R1,1805,-41.23,-3.866,29.86,-34.28,0/7,,-73625.0,-0.33,NEGATIVE (t) but UNDERPOWERED vs $25
HG_cash_5_R2,HG,cash,5,R2,1805,-34.38,-3.978,24.19,-19.39,2/7,,-67275.0,0.25,NEGATIVE
HG_cash_5_R3,HG,cash,5,R3,1805,-30.43,-6.623,12.86,-29.23,0/7,,-49719.0,-0.07,NEGATIVE
HG_cash_15_R1,HG,cash,15,R1,1796,-55.88,-4.833,32.38,-23.88,1/7,,-100400.0,-0.71,NEGATIVE (t) but UNDERPOWERED vs $25
HG_cash_15_R2,HG,cash,15,R2,1796,-43.78,-5.606,21.87,-28.73,0/7,,-75496.0,-0.47,NEGATIVE
HG_cash_15_R3,HG,cash,15,R3,1796,-33.64,-5.135,18.34,-34.29,0/7,,-56925.0,-0.53,NEGATIVE
HG_cash_30_R1,HG,cash,30,R1,1776,-53.59,-4.646,32.3,-25.39,0/7,,-93338.0,-0.69,NEGATIVE (t) but UNDERPOWERED vs $25
HG_cash_30_R2,HG,cash,30,R2,1776,-43.92,-5.994,20.52,-18.15,0/7,,-77825.0,-0.66,NEGATIVE
HG_cash_30_R3,HG,cash,30,R3,1776,-32.3,-4.13,21.9,-29.92,0/7,,-51969.0,-0.06,NEGATIVE
HG_cash_60_R1,HG,cash,60,R1,1640,-35.84,-3.097,32.4,-33.48,1/7,,-60375.0,-0.28,NEGATIVE (t) but UNDERPOWERED vs $25
HG_cash_60_R2,HG,cash,60,R2,1640,-35.44,-4.753,20.88,-17.85,1/7,,-58157.0,-0.28,NEGATIVE
HG_cash_60_R3,HG,cash,60,R3,1640,-38.88,-4.246,25.64,-19.78,1/7,,-64700.0,-0.08,NEGATIVE (t) but UNDERPOWERED vs $25
HG_globex_5_R1,HG,globex,5,R1,1499,-49.97,-3.967,35.27,-65.63,2/7,,-80738.0,-2.62,NEGATIVE (t) but UNDERPOWERED vs $25
