ticker,event_et,session,jump_pct,res_pct,pred
GOOGL,2024-07-23 16:01:54,AMC,0.14040718082439074,0.10781400829917133,0.10229888323719132
TSLA,2024-07-23 16:32:27,AMC,0.01253195648904707,0.05012468515432138,0.011607661056297156
MSFT,2024-07-30 16:03:22,AMC,0.05067950547472026,0.41347667191292986,0.08932559178204555
AMD,2024-07-30 16:17:15,AMC,0.14199267477042304,0.027868091035764053,0.018963337547408345
META,2024-07-31 16:11:20,AMC,0.09703407683566768,0.10853465447673528,0.046303679227954656
AMZN,2024-08-01 16:06:02,AMC,0.24001054991428195,0.24924501180287223,0.030231338022032907
INTC,2024-08-01 16:08:44,AMC,0.10528116651532499,0.6092506085926706,0.030657185923580327
AAPL,2024-08-01 16:30:26,AMC,0.06351810927761384,0.1442142309015374,0.21287919105907396
NVDA,2024-08-28 16:21:16,AMC,0.016726280847121792,0.5453095660673406,0.07047183999543033
AVGO,2024-09-05 16:21:56,AMC,0.04355285733139765,0.0871057146627953,0.013923051932983708
MU,2024-09-25 16:00:27,AMC,0.0012379455056388418,0.20673434018321368,0.039255040575951944
NFLX,2024-10-17 16:01:18,AMC,0.015941335883947073,0.0723535759835181,0.025079598819047543
TSLA,2024-10-23 16:09:26,AMC,0.045662100456621,0.1690752693480112,0.012027269778490866
GOOGL,2024-10-29 16:01:46,AMC,0.04709121205535029,0.050715450099619634,0.11824316516050526
AMD,2024-10-29 16:16:49,AMC,0.10489004629629631,0.12056181807221653,0.02275894250683097
MSFT,2024-10-30 16:04:07,AMC,0.007291375517991469,0.3743179028474897,0.08894116644698631
META,2024-10-30 16:08:12,AMC,0.04140837179846302,0.14980452336585187,0.0501856870420556
INTC,2024-10-31 16:07:17,AMC,0.00498647418876298,0.03490488419058067,0.0322338025142366
AMZN,2024-10-31 16:13:57,AMC,0.03241329443738,0.22066798818117217,0.031647000316470004
AAPL,2024-10-31 16:30:25,AMC,0.0,0.2228530166081522,0.20628062534613967
NVDA,2024-11-20 16:21:20,AMC,0.06297152960267387,0.20951919583383796,0.06901417090976014
AVGO,2024-12-12 16:23:06,AMC,0.027688686864025473,0.08537246622596015,0.014036413652649838
MU,2024-12-18 16:00:20,AMC,0.082574462393729,0.21398583506809168,0.03372226343832198
NFLX,2025-01-21 16:02:20,AMC,0.04018831094270295,0.07234311305046794,0.024081878386514148
