Date,Scraped_At,dOpen,wOpen,mOpen,DIHD,DIHU,DILD,DILU,DRHD,DRHU,DRLD,DRLU,MIHD,MIHU,MILD,MILU,MRHD,MRHU,MRLD,MRLU,MTL1,MTL2,MTLD,MTLU,WIHD,WIHU,WILD,WILU,WRHD,WRHU,WRLD,WRLU,WTL1,WTL2,WTLD,WTLU,DTL1,DTL2,DTLD,DTLU,DTH1,DTH2,DTHD,DTHU,WTH1,WTH2,WTHD,WTHU,MTH1,MTH2,MTHD,MTHU
2025-02-27,2026-06-30 09:39:37,43484.0,43527.0,44449.0,43549.14210426,43580.3054505,43288.1490795,43319.312425740005,43703.03363448,43770.838254,43135.169946,43202.97456552,45124.0291834,45264.416905,43948.282015,44088.6697366,45502.4413,45858.92228,42995.5177,43433.78484,,,,,43703.03363448,43770.838254,43135.169946,43202.97456552,43948.282015,44088.6697366,42871.48338,43038.19179,,,,,,,,,44002.03665,44145.1023,44013.19659,44156.83569,,,,,,,,
2025-02-28,2026-06-30 09:40:21,43325.0,43527.0,44449.0,43443.23315778,43473.1152765,43192.9704135,43222.85253222,43545.3984,43647.7398,43024.20529,43127.27595,45124.0291834,45264.416905,43948.282015,44088.6697366,45502.4413,45858.92228,42995.5177,43433.78484,,,,,43703.03363448,43770.838254,43135.169946,43202.97456552,43948.282015,44088.6697366,42871.48338,43038.19179,,,,,,,,,43880.60985,44023.2807,43948.282015,44088.6697366,,,,,,,,
2025-03-03,2026-06-30 09:40:49,43919.0,43919.0,43919.0,44027.55013824,44060.011632,43755.685128000005,43788.14662176,44156.93184,44260.71048,43560.67909,43665.03495,44585.9802854,44724.694055,43424.252465000005,43562.9662346,44959.8803,45312.11068,42482.8487,42915.89004,,,,,44096.61897656,44165.034238,43523.641162,43592.05642344,44409.57523,44554.50793,43257.57986,43425.78963,42682.24096,42216.69956,42482.8487,42915.89004,43286.63534,43132.73237,43006.45301,43400.63754,,,,,,,,,,,,
2025-03-04,2026-06-30 09:41:10,43356.0,43919.0,43919.0,43431.39764598,43462.1020015,43174.2486685,43204.95302402,43543.39008,43645.72676,42996.38813,43099.39215,44585.9802854,44724.694055,43424.252465000005,43562.9662346,44959.8803,45312.11068,42482.8487,42915.89004,41401.12373,40607.94659,40417.77732,41907.07061,44096.61897656,44165.034238,43523.641162,43592.05642344,44409.57523,44554.50793,43257.57986,43425.78963,42682.24096,42216.69956,42482.8487,42915.89004,42725.89438,42573.98509,42449.34157,42838.41978,,,,,,,,,,,,
2025-03-05,2026-06-30 09:41:36,42881.0,43919.0,43919.0,42962.07058164,42992.408277,42707.992383,42738.330078360006,43072.43904,43173.66888,42532.43764,42634.3302,44585.9802854,44724.694055,43424.252465000005,43562.9662346,44959.8803,45312.11068,42482.8487,42915.89004,41401.12373,40607.94659,40417.77732,41907.07061,44096.61897656,44165.034238,43523.641162,43592.05642344,44409.57523,44554.50793,43257.57986,43425.78963,42682.24096,42216.69956,42482.8487,42915.89004,42264.86264,42114.59252,41991.29396,42376.17384,43404.00966,43545.13092,43424.252465000005,43562.9662346,,,,,,,,
2025-03-06,2026-06-30 09:41:55,43066.0,43919.0,43919.0,43171.22909616,43200.967628,42922.168892,42951.90742384,43273.27104,43374.97288,42753.98145,42856.40475,44585.9802854,44724.694055,43424.252465000005,43562.9662346,44959.8803,45312.11068,42482.8487,42915.89004,41401.12373,40607.94659,40417.77732,41907.07061,44096.61897656,44165.034238,43523.641162,43592.05642344,44409.57523,44554.50793,43257.57986,43425.78963,42682.24096,42216.69956,42482.8487,42915.89004,42485.0127,42333.95985,42210.01905,42596.9037,,,,,,,,,,,,
2025-03-07,2026-06-30 09:42:15,42722.0,42722.0,43919.0,42741.27506076,42775.555823,42454.173677,42488.45443924,42894.77802128,42961.328644,42234.39664,42335.5752,44585.9802854,44724.694055,43424.252465000005,43562.9662346,44959.8803,45312.11068,42482.8487,42915.89004,41401.12373,40607.94659,40417.77732,41907.07061,42894.77802128,42961.328644,42337.416556,42403.96717872,43199.20474,43340.18734,42078.60668,42242.23194,,,,,,,,,,,,,,,,,,,,
2025-03-10,2026-06-30 09:42:43,42036.0,42722.0,43919.0,42078.64589352,42110.392506,41812.768014,41844.51462648,42210.86976,42310.07472,41618.44524,41718.1482,44585.9802854,44724.694055,43424.252465000005,43562.9662346,44959.8803,45312.11068,42482.8487,42915.89004,41401.12373,40607.94659,40417.77732,41907.07061,42894.77802128,42961.328644,42337.416556,42403.96717872,43199.20474,43340.18734,42078.60668,42242.23194,41518.94848,41066.09528,41046.87038,41609.51912,,,,,,,,,,,,,,,,
2025-03-11,2026-06-30 09:43:10,41510.0,42722.0,43919.0,41617.39118916,41648.010313,41360.956027,41391.57515084,41738.91456,41837.01032,41177.34456,41275.9908,44585.9802854,44724.694055,43424.252465000005,43562.9662346,44959.8803,45312.11068,42482.8487,42915.89004,41401.12373,40607.94659,40417.77732,41907.07061,42894.77802128,42961.328644,42337.416556,42403.96717872,43199.20474,43340.18734,42078.60668,42242.23194,41518.94848,41066.09528,41046.87038,41609.51912,,,,,,,,,,,,,,,,
2025-03-12,2026-06-30 09:43:31,41367.0,42722.0,43919.0,41495.29530168,41524.973854,41246.737426,41276.41597832,41606.36544,41704.14968,41073.03021,41171.42655,44585.9802854,44724.694055,43424.252465000005,43562.9662346,44959.8803,45312.11068,42482.8487,42915.89004,41401.12373,40607.94659,40417.77732,41907.07061,42894.77802128,42961.328644,42337.416556,42403.96717872,43199.20474,43340.18734,42078.60668,42242.23194,41518.94848,41066.09528,41046.87038,41609.51912,,,,,,,,,,,,,,,,
